"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3011100","","","","0"
"2022","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2635700","","","","0"
"2023","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2702700","","r","","0"
"2024","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2394100","","","","0"
"1991","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","90277","","","","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","63700","","","","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","80700","","","","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","79500","","","","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","104900","","","","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","83600","","","","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","91800","","","","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","93900","","","","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","149900","","","","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","158400","","","","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","170200","","","","0"
"2002","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","214900","","","","0"
"2003","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","161700","","","","0"
"2004","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","123000","","","","0"
"2005","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","168100","","","","0"
"2006","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","176300","","","","0"
"2007","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","152600","","","","0"
"2008","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","125400","","","","0"
"2009","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","114500","","","","0"
"2010","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","126100","","","","0"
"2011","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","74500","","","","0"
"2012","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","120700","","","","0"
"2013","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","85000","","","","0"
"2014","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","119700","","","","0"
"2015","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","104400","","","","0"
"2016","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","116300","","","","0"
"2017","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","131500","","","","0"
"2018","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","137100","","","","0"
"2019","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","150200","","","","0"
"2020","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","182900","","","","0"
"2021","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","161600","","","","0"
"2022","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","117300","","","","0"
"2023","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","128800","","","","0"
"2024","Canada","2021A000011124","Harvested area (hectares)","Beans, all dry (white and coloured)","Hectares","149","units","0","v114995759","1.17.39","159800","","","","0"
"1991","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2002","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","1200","","","t","0"
"2003","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","1600","","","t","0"
"2004","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","2000","","","t","0"
"2005","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","0","","","t","0"
"2006","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","0","","","t","0"
"2007","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","800","","","t","0"
"2008","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2009","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2010","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2011","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2012","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2013","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2014","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2015","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2016","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2017","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2018","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"2020","Canada","2021A000011124","Harvested area (hectares)","Borage seed","Hectares","149","units","0","v114995762","1.17.37","","..","","t","0"
"1991","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","21805","","","","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","17200","","","","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","9400","","","","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","10700","","","","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","16800","","","","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","17100","","","","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","15000","","","","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","14400","","","","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","13200","","","","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","14800","","","","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","14300","","","","0"
"2002","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","11900","","","","0"
"2003","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","9300","","","","0"
"2004","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","4000","","","","0"
"2005","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","4000","","","","0"
"2006","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","6900","","","","0"
"2007","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","4000","","","","0"
"2008","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2009","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2010","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2011","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2012","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2013","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2014","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2015","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2016","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","..","","","0"
"2017","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","5800","","","","0"
"2018","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","12700","","","","0"
"2019","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","13900","","","","0"
"2020","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","9800","","","","0"
"2021","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","7640","","","","0"
"2022","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","11600","","","","0"
"2023","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","","F","","","0"
"2024","Canada","2021A000011124","Harvested area (hectares)","Buckwheat","Hectares","149","units","0","v114995763","1.17.12","14300","","","","0"
"1991","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","95166","","","","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","92300","","","","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","123400","","","","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","204300","","","","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","145600","","","","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","234700","","","","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","113300","","","","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","208400","","","","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","145700","","","","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","163900","","","","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","163400","","","","0"
"2002","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","226600","","","","0"
"2003","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","254900","","","","0"
"2004","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","317600","","","","0"
"2005","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","182200","","","","0"
"2006","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","131100","","","","0"
"2007","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","174000","","","","0"
"2008","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","161800","","","","0"
"2009","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","143700","","","","0"
"2010","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","153800","","","","0"
"2011","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","109300","","","","0"
"2012","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","131600","","","","0"
"2013","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","85000","","","","0"
"2014","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","111300","","","","0"
"2015","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","127500","","","","0"
"2016","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","94700","","","","0"
"2017","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","103100","","","","0"
"2018","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","108600","","","","0"
"2019","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","114900","","","","0"
"2020","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","134900","","","","0"
"2021","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","120900","","","","0"
"2022","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","117400","","","","0"
"2023","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","102700","","","","0"
"2024","Canada","2021A000011124","Harvested area (hectares)","Canary seed","Hectares","149","units","0","v114995764","1.17.33","117700","","","","0"
"1991","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","3140525","","","","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","3045300","","","","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","4123800","","","","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","5754600","","","","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","5271000","","","","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","3451000","","","","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","4869500","","","","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","5428800","","","","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","5564300","","","","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","4859200","","","","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","3785200","","","","0"
"2002","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","3628000","","","","0"
"2003","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","4689200","","","","0"
"2004","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","4867000","","","","0"
"2005","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","5175400","","","","0"
"2006","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","5238200","","","","0"
"2007","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","6332800","","","","0"
"2008","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","6495900","","","","0"
"2009","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","6516100","","","","0"
"2010","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","6857900","","","","0"
"2011","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","7589400","","","","0"
"2012","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8860100","","","","0"
"2013","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8233400","","","","0"
"2014","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8392400","","","","0"
"2015","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8364400","","","","0"
"2016","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8263300","","","","0"
"2017","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","9273100","","","","0"
"2018","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","9119700","","","","0"
"2019","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8471300","","","","0"
"2020","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8325400","","","","0"
"2021","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8946200","","","","0"
"2022","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8596300","","","","0"
"2023","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8856600","","r","","0"
"2024","Canada","2021A000011124","Harvested area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v114995765","1.17.16","8845900","","","","0"
"1991","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","","..","","t","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Caraway seed","Hectares","149","units","0","v114995766","1.17.35","6100","","","t","0"
